Name,Genre,Year
Wii Sports,Sports,2006
Super Mario Bros.,Platform,1985
Mario Kart Wii,Racing,2008
Wii Sports Resort,Sports,2009
Pokemon Red/Pokemon Blue,Role-Playing,1996
Tetris,Puzzle,1989
New Super Mario Bros.,Platform,2006
Wii Play,Misc,2006
New Super Mario Bros. Wii,Platform,2009
Duck Hunt,Shooter,1984
Nintendogs,Simulation,2005
Mario Kart DS,Racing,2005
Pokemon Gold/Pokemon Silver,Role-Playing,1999
Wii Fit,Sports,2007
Wii Fit Plus,Sports,2009
Kinect Adventures!,Misc,2010
Grand Theft Auto V,Action,2013
Super Mario World,Platform,1990
Brain Age: Train Your Brain in Minutes a Day,Misc,2005
Pokemon Diamond/Pokemon Pearl,Role-Playing,2006
Super Mario Land,Platform,1989
Super Mario Bros. 3,Platform,1988
Grand Theft Auto V,Action,2013
Pokemon Ruby/Pokemon Sapphire,Role-Playing,2002
Pokemon Black/Pokemon White,Role-Playing,2010
Brain Age 2: More Training in Minutes a Day,Puzzle,2005
Call of Duty: Modern Warfare 3,Shooter,2011
PokГ©mon Yellow: Special Pikachu Edition,Role-Playing,1998
Call of Duty: Black Ops,Shooter,2010
Pokemon X/Pokemon Y,Role-Playing,2013
Call of Duty: Black Ops 3,Shooter,2015
Call of Duty: Black Ops II,Shooter,2012
Call of Duty: Black Ops II,Shooter,2012
Call of Duty: Modern Warfare 2,Shooter,2009
Call of Duty: Modern Warfare 3,Shooter,2011
Super Smash Bros. Brawl,Fighting,2008
Call of Duty: Black Ops,Shooter,2010
Animal Crossing: Wild World,Simulation,2005
Mario Kart 7,Racing,2011
Halo 3,Shooter,2007
Grand Theft Auto V,Action,2014
Pokemon HeartGold/Pokemon SoulSilver,Action,2009
Super Mario 64,Platform,1996
Super Mario Galaxy,Platform,2007
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,2014
Super Mario Land 2: 6 Golden Coins,Adventure,1992
Grand Theft Auto IV,Action,2008
Gran Turismo,Racing,1997
Super Mario 3D Land,Platform,2011
Gran Turismo 5,Racing,2010
Call of Duty: Modern Warfare 2,Shooter,2009
Grand Theft Auto IV,Action,2008
Super Mario All-Stars,Platform,1993
Pokemon FireRed/Pokemon LeafGreen,Role-Playing,2004
Super Mario 64,Platform,2004
Just Dance 3,Misc,2011
Call of Duty: Ghosts,Shooter,2013
Halo: Reach,Shooter,2010
Mario Kart 64,Racing,1996
New Super Mario Bros. 2,Platform,2012
Halo 4,Shooter,2012
Final Fantasy VII,Role-Playing,1997
Call of Duty: Ghosts,Shooter,2013
Just Dance 2,Misc,2010
Gran Turismo 2,Racing,1999
Call of Duty 4: Modern Warfare,Shooter,2007
Donkey Kong Country,Platform,1994
Minecraft,Misc,2013
Animal Crossing: New Leaf,Simulation,2012
Mario Party DS,Misc,2007
The Elder Scrolls V: Skyrim,Role-Playing,2011
Super Mario Kart,Racing,1992
FIFA 16,Sports,2015
Wii Party,Misc,2010
Halo 2,Shooter,2004
Mario Party 8,Misc,2007
Pokemon Black 2/Pokemon White 2,Role-Playing,2012
FIFA Soccer 13,Action,2012
The Sims 3,Simulation,2009
GoldenEye 007,Shooter,1997
Mario & Sonic at the Olympic Games,Sports,2007
Final Fantasy VIII,Role-Playing,1999
PokГ©mon Platinum Version,Role-Playing,2008
Pac-Man,Puzzle,1982
Grand Theft Auto: Liberty City Stories,Action,2005
Super Mario Galaxy 2,Platform,2010
Star Wars Battlefront (2015),Shooter,2015
Call of Duty: Advanced Warfare,Shooter,2014
The Legend of Zelda: Ocarina of Time,Action,1998
Crash Bandicoot 2: Cortex Strikes Back,Platform,1997
Super Mario Bros. 2,Platform,1988
Super Smash Bros. for Wii U and 3DS,Fighting,2014
Call of Duty: World at War,Shooter,2008
Battlefield 3,Shooter,2011
The Legend of Zelda: Twilight Princess,Action,2006
Call of Duty: Black Ops 3,Shooter,2015
Just Dance,Misc,2009
Battlefield 3,Shooter,2011
Tekken 3,Fighting,1998
Crash Bandicoot 3: Warped,Platform,1998
Super Smash Bros. Melee,Fighting,2001
Mario Kart 8,Racing,2014
Fallout 4,Role-Playing,2015
Mario Kart: Double Dash!!,Racing,2003
Uncharted 3: Drake's Deception,Action,2011
Crash Bandicoot,Platform,1996
Zumba Fitness,Sports,2010
Gears of War 2,Shooter,2008
Uncharted 2: Among Thieves,Action,2009
Call of Duty 4: Modern Warfare,Shooter,2007
FIFA 12,Sports,2011
Big Brain Academy,Misc,2005
Red Dead Redemption,Action,2010
FIFA 15,Sports,2014
Donkey Kong Country Returns,Platform,2010
The Elder Scrolls V: Skyrim,Role-Playing,2011
The Legend of Zelda,Action,1986
Assassin's Creed III,Action,2012
Halo: Combat Evolved,Shooter,2001
PokГ©mon Emerald Version,Role-Playing,2004
PokГ©mon Crystal Version,Role-Playing,2000
Halo 3: ODST,Shooter,2009
Red Dead Redemption,Action,2010
Super Mario Sunshine,Platform,2002
Street Fighter II: The World Warrior,Fighting,1992
World of Warcraft,Role-Playing,2004
Driver,Action,1999
Kinect Sports,Sports,2010
Gears of War 3,Shooter,2011
Gears of War,Shooter,2006
Sonic the Hedgehog 2,Platform,1992
Metal Gear Solid 4: Guns of the Patriots,Action,2008
Metal Gear Solid,Action,1998
The Last of Us,Action,2013
LittleBigPlanet,Platform,2008
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,2009
LEGO Star Wars: The Complete Saga,Action,2007
Resident Evil 2,Action,1998
Tekken 2,Fighting,1996
Cooking Mama,Simulation,2006
Destiny,Shooter,2014
Tetris,Puzzle,1988
Assassin's Creed II,Action,2009
Super Smash Bros.,Fighting,1999
Assassin's Creed,Adventure,2007
Batman: Arkham City,Action,2011
Forza Motorsport 3,Racing,2009
Monster Hunter Freedom Unite,Role-Playing,2008
Super Mario Advance,Platform,2001
Mario Kart: Super Circuit,Racing,2001
Super Mario World,Platform,2001
Pokemon Stadium,Strategy,1999
Call of Duty: World at War,Shooter,2008
Minecraft,Misc,2014
Final Fantasy XIII,Role-Playing,2009
Dr. Mario,Puzzle,1989
Pokemon Pinball,Misc,1999
Assassin's Creed III,Action,2012
Final Fantasy IX,Role-Playing,2000
Donkey Kong 64,Platform,1999
Assassin's Creed II,Action,2009
Professor Layton and the Curious Village,Puzzle,2007
Tomb Raider II,Action,1997
Diablo III,Role-Playing,2012
Super Mario Bros. 3,Platform,2003
FIFA Soccer 13,Action,2012
Donkey Kong Country 2: Diddy's Kong Quest,Platform,1995
Tomodachi Life,Simulation,2013
Mario & Sonic at the Olympic Games,Sports,2008
Kirby's Dream Land,Platform,1992
Fable III,Role-Playing,2010
Call of Duty: Advanced Warfare,Shooter,2014
Microsoft Flight Simulator,Simulation,1996
Resident Evil 5,Action,2009
Grand Theft Auto V,Action,2014
Grand Theft Auto: Vice City Stories,Action,2006
FIFA Soccer 11,Sports,2010
Super Mario Bros.,Platform,1999
Resident Evil,Action,1996
Tony Hawk's Pro Skater,Sports,1999
Super Smash Bros. for Wii U and 3DS,Fighting,2014
Warzone 2100,Strategy,1999
Spyro the Dragon,Platform,1998
Link's Crossbow Training,Shooter,2007
Fallout 3,Role-Playing,2008
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing,2007
Uncharted: Drake's Fortune,Action,2007
LEGO Star Wars: The Complete Saga,Action,2007
Diddy Kong Racing,Racing,1997
Monster Hunter Freedom 3,Role-Playing,2010
Dr. Mario,Puzzle,1990
God of War III,Action,2010
StarCraft II: Wings of Liberty,Strategy,2010
Assassin's Creed,Adventure,2007
FIFA 15,Sports,2014
Crash Team Racing,Racing,1999
FIFA 17,Sports,2016
Batman: Arkham City,Action,2011
Driver 2,Action,2000
